scientificName
Scarabaeidae
Scarabaeinae
Geotrupinae
Dynastinae
Aphodiini
Ateuchini
Coprini
Deltochilini
Dichotomiini
Epilissini
Eucraniini
Geotrupini
Gymnopleurini
Oniticellini
Onitini
Onthophagini
Oryctini
Pentodontini
Phanaeini
Scarabaeini
Sisyphini
Aganocrossus
Lorditomaeus
Paradidactylia
Pharaphodius
Trichaphodioides
Aptychonitis
Ateuchus
Bdelyropsis
Bdelyrus
Bradypodidium
Demarziella
Eutrichillum
Haroldius
Pedaridium
Scatimus
Trichillidium
Trichillum
Uroxys
Canthidium
Catharsius
Copris
Coptodactyla
Heliocopris
Homocopris
Metacatharsius
Microcopris
Ontherus
Pedaria
Pseudopedaria
Synapsis
Amphistomus
Anomiopus
Anoplodrepanus
Aptenocanthon
Aulacopris
Boletoscapter
Boreocanthon
Canthochilum
Canthon
Canthonosoma
Cephalodesmius
Chalconotus
Circellium
Cryptocanthon
Deltochilum
Diorygopyx
Eudinopus
Gyronotus
Hansreia
Lepanus
Malagoniella
Megathopa
Melanocanthon
Mentophilus
Monoplistes
Paracanthon
Pseudocanthon
Saphobius
Sauvagesinella
Scatonomus
Scybalocanthon
Scybalophagus
Sylvicanthon
Temnoplectron
Tesserodon
Tetraechma
Zonocopris
Chalcocopris
Dichotomius
Holocephalus
Isocopris
Apterepilissus
Canthonella
Epilissus
Nanos
Panelus
Anomiopsoides
Eucranium
Geotrupes
Allogymnopleurus
Garreta
Gymnopleurus
Gymnopleurus near
Paragymnopleurus
Afrodrepanus
Cyptochirus
Drepanocerus
Euoniticellus
Eurysternus
Helictopleurus
Latodrepanus
Liatongus
Oniticellus
Paroniticellus
Tibiodrepanus
Tiniocellus
Bolbites
Bubas
Cheironitis
Gromphas
Heteronitis
Onitis
Oruscatus
Caccobius
Cleptocaccobius
Diastellopalpus
Digitonthophagus
Euonthophagus
Hamonthophagus
Milichus
Mimonthophagus
Onthophagus
Parascatonomus
Phalops
Proagoderus
Tiaronthophagus
Xyloryctes
Euligyrus
Coprophanaeus
Diabroctis
Oxysternon
Phanaeus
Sulcophanaeus
Ateuchetus
Escarabaeus
Kheper
Mnematium
Pachylomera
Parateuchus
Scarabaeolus
Scarabaeus
Sisyphus
